,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
blueberry,0.7097826086956521,0.8141304347826087,0.4403804347826087,0.26168478260869565,0.69625,0.8439673913043478,0.5494021739130435,0.3568478260869565,0.28733695652173913,0.19793478260869565,0.5164130434782609,0.8170108695652175,0.6014673913043478,0.4817934782608696,0.4055978260869565,0.3008695652173913,0.23869565217391306,0.2683152173913043,0.2286413043478261,0.12684782608695652,0.3497282608695652,0.35423913043478267,0.3814130434782608,0.40652173913043477,0.20722826086956522,0.20701086956521741,0.1570108695652174,0.19983695652173913,0.15864130434782608,0.1842391304347826,0.26076086956521743,0.22565217391304349,0.1656521739130435,0.1793478260869565,0.18152173913043476,0.2227173913043478,0.23396739130434782,0.22010869565217392,0.23777173913043478,0.22641304347826086,0.23124999999999998,0.20380434782608695,0.18070652173913043,0.2107608695652174,0.20021739130434785,0.19581521739130436,0.17369565217391306,0.17135869565217393,0.16353260869565217,0.14597826086956522,0.20554347826086958,0.1835326086956522,0.1753804347826087,0.2213586956521739,0.18038043478260868,0.18048913043478262,0.18858695652173915,0.18505434782608693,0.17097826086956522,0.17940217391304347,0.17581521739130435,0.14652173913043479,0.13755434782608694,0.16353260869565217,0.2042391304347826,0.1958695652173913,0.1823913043478261,0.1918478260869565,0.1441304347826087,0.16206521739130436,0.16108695652173913
boat,0.678921568627451,0.6650490196078431,0.2390686274509804,0.14607843137254903,0.6908823529411765,0.67,0.2855392156862745,0.15112745098039215,0.17838235294117646,0.1609313725490196,0.6451470588235293,0.725,0.6654411764705882,0.6257843137254901,0.17911764705882352,0.1968627450980392,0.1875,0.14504901960784314,0.13495098039215686,0.14230392156862745,0.4911274509803921,0.4210294117647059,0.4927941176470588,0.5233823529411764,0.6522058823529412,0.7089705882352941,0.7321568627450981,0.7947058823529412,0.8446568627450981,0.8522058823529411,0.1958333333333333,0.17151960784313727,0.2132843137254902,0.15848039215686274,0.16598039215686275,0.2580882352941176,0.2736764705882353,0.2569607843137255,0.2409313725490196,0.24656862745098038,0.23333333333333334,0.2846078431372549,0.3365686274509804,0.47740196078431374,0.5650000000000001,0.3073529411764706,0.21950980392156863,0.2453921568627451,0.19666666666666666,0.21651960784313726,0.21808823529411767,0.19137254901960785,0.20808823529411766,0.2351470588235294,0.19112745098039216,0.19156862745098038,0.24436274509803924,0.2947549019607843,0.31955882352941173,0.23147058823529412,0.2378921568627451,0.21946078431372548,0.3869117647058824,0.19137254901960785,0.18892156862745096,0.1963235294117647,0.19705882352941173,0.18892156862745096,0.2555392156862745,0.29651960784313725,0.22950980392156864
car,0.49470588235294116,0.49735294117647055,0.21568627450980393,0.1325,0.4413725490196079,0.5850980392156863,0.21848039215686274,0.1568627450980392,0.14622549019607844,0.13200980392156864,0.2949019607843137,0.5520588235294118,0.42549019607843136,0.3744607843137255,0.18073529411764705,0.17823529411764705,0.1640686274509804,0.13200980392156864,0.13661764705882354,0.16176470588235295,0.22465686274509802,0.2299019607843137,0.2684803921568627,0.29573529411764704,0.8838725490196079,0.7681862745098039,0.7523529411764706,0.7524019607843138,0.8241176470588235,0.7801960784313725,0.26549019607843133,0.15784313725490198,0.20426470588235296,0.17416666666666666,0.13200980392156864,0.18485294117647058,0.19475490196078432,0.3855882352941176,0.28455882352941175,0.182156862745098,0.20284313725490197,0.27416666666666667,0.38769607843137255,0.39794117647058824,0.40975490196078435,0.29700980392156867,0.25029411764705883,0.18338235294117644,0.2506862745098039,0.35754901960784313,0.265343137254902,0.25181372549019604,0.1721078431372549,0.26098039215686275,0.19936274509803922,0.18730392156862746,0.24921568627450982,0.3135294117647059,0.29799019607843136,0.31279411764705883,0.17651960784313725,0.32284313725490194,0.767107843137255,0.21367647058823527,0.2502450980392157,0.18147058823529413,0.18382352941176472,0.259656862745098,0.3766666666666667,0.33181372549019605,0.301421568627451
carrot,0.051201923076923075,0.06538461538461539,0.04519230769230769,0.03298076923076923,0.06591346153846155,0.05639423076923077,0.06384615384615384,0.08019230769230769,0.06384615384615384,0.06288461538461539,0.06552884615384615,0.055240384615384615,0.06725961538461539,0.04548076923076923,0.08052884615384616,0.06509615384615385,0.06504807692307692,0.09048076923076923,0.06389423076923077,0.06533653846153846,0.051153846153846154,0.10682692307692307,0.08879807692307692,0.06014423076923077,0.07971153846153846,0.053605769230769235,0.06336538461538462,0.06495192307692307,0.0941826923076923,0.08456730769230769,0.12798076923076923,0.15254807692307693,0.12225961538461538,0.14341346153846155,0.08442307692307693,0.2129326923076923,0.18615384615384614,0.5287019230769231,0.5051923076923077,0.28754807692307693,0.20389423076923074,0.2648076923076923,0.24557692307692308,0.23221153846153844,0.2704326923076923,0.44413461538461535,0.5747596153846154,0.415,0.3827884615384616,0.131875,0.5598557692307693,0.4776923076923077,0.39437500000000003,0.4752403846153846,0.3683173076923077,0.32067307692307695,0.2743269230769231,0.3326442307692308,0.32995192307692306,0.920048076923077,0.7558653846153847,0.9046153846153846,0.2804326923076923,0.45399038461538466,0.4815865384615385,0.38317307692307695,0.2945673076923077,0.27298076923076925,0.3719230769230769,0.3621634615384615,0.8420673076923078
celery,0.07668269230769231,0.05711538461538461,0.058173076923076925,0.0439423076923077,0.07096153846153846,0.057596153846153846,0.06879807692307692,0.04504807692307692,0.05105769230769231,0.05663461538461539,0.06596153846153846,0.05495192307692308,0.07274038461538462,0.0889423076923077,0.06326923076923077,0.04043269230769231,0.05519230769230769,0.03817307692307693,0.04995192307692308,0.054375,0.1098076923076923,0.18677884615384616,0.1545673076923077,0.14384615384615385,0.05629807692307693,0.05581730769230769,0.054375,0.15192307692307694,0.23153846153846153,0.20567307692307693,0.04764423076923077,0.07432692307692308,0.06427884615384614,0.06509615384615385,0.05456730769230769,0.4850961538461539,0.40302884615384615,0.6733173076923078,0.7262980769230769,0.6114423076923077,0.5467307692307692,0.2804326923076923,0.25052884615384613,0.20793269230769232,0.17620192307692306,0.128125,0.07504807692307693,0.07427884615384615,0.05639423076923077,0.04730769230769231,0.8270673076923077,0.786826923076923,0.7418269230769231,0.7653365384615385,0.7022115384615385,0.5856250000000001,0.2137019230769231,0.1741346153846154,0.14322115384615383,0.08096153846153846,0.09274038461538461,0.07711538461538461,0.04403846153846154,0.7490384615384615,0.8205769230769231,0.7454326923076924,0.5934134615384615,0.41874999999999996,0.13798076923076924,0.13615384615384615,0.08014423076923076
cherry,0.08530612244897959,0.07872448979591837,0.10306122448979592,0.16933673469387753,0.0939795918367347,0.0925,0.09653061224489796,0.21076530612244898,0.14928571428571427,0.27852040816326534,0.0920408163265306,0.0867857142857143,0.08224489795918367,0.08566326530612245,0.22362244897959183,0.1579591836734694,0.19607142857142856,0.38244897959183677,0.3442857142857143,0.3434183673469388,0.08734693877551021,0.13377551020408163,0.09775510204081633,0.10688775510204081,0.18709183673469387,0.12943877551020408,0.09673469387755103,0.11979591836734695,0.13984693877551022,0.13591836734693877,0.595969387755102,0.38795918367346943,0.3538265306122449,0.5181632653061224,0.5024489795918368,0.17887755102040817,0.13489795918367348,0.2926020408163265,0.2802040816326531,0.18908163265306124,0.15908163265306122,0.15897959183673468,0.13668367346938776,0.13744897959183672,0.15744897959183674,0.33448979591836736,0.2497448979591837,0.2861734693877551,0.5921428571428572,0.7575510204081632,0.28877551020408165,0.24989795918367344,0.22918367346938776,0.2813775510204082,0.24489795918367346,0.1929591836734694,0.11489795918367347,0.1718877551020408,0.17448979591836736,0.15668367346938775,0.15301020408163266,0.3001530612244898,0.9062755102040816,0.21964285714285714,0.24607142857142858,0.23571428571428574,0.20397959183673472,0.16040816326530613,0.16857142857142857,0.19877551020408163,0.181734693877551
comfort,0.49715000000000004,0.42335,0.46285000000000004,0.36715000000000003,0.4865,0.51225,0.5546500000000001,0.41350000000000003,0.45975,0.36085,0.5455,0.5649000000000001,0.6158,0.71205,0.46185000000000004,0.63605,0.6489499999999999,0.42534999999999995,0.52185,0.3403,0.44195,0.5848,0.55175,0.61265,0.24205,0.38799999999999996,0.43905,0.574,0.60495,0.6206499999999999,0.49570000000000003,0.633,0.66475,0.56775,0.38275,0.46525,0.4571,0.36534999999999995,0.50255,0.5244,0.5514,0.31535,0.4451,0.60315,0.57995,0.33775,0.5166,0.62005,0.5636,0.2909,0.371,0.42200000000000004,0.39299999999999996,0.41839999999999994,0.50375,0.5117499999999999,0.41415,0.59065,0.6058,0.44689999999999996,0.5655,0.4006,0.32104999999999995,0.33039999999999997,0.31975000000000003,0.35465,0.3574,0.38420000000000004,0.4587,0.47909999999999997,0.43435
corn,0.08466346153846153,0.0773076923076923,0.06923076923076923,0.07024038461538462,0.07701923076923077,0.06903846153846153,0.07423076923076923,0.08115384615384615,0.08110576923076923,0.07524038461538461,0.07360576923076924,0.05158653846153846,0.07427884615384615,0.08908653846153847,0.10480769230769231,0.09701923076923077,0.08884615384615385,0.07105769230769231,0.07524038461538461,0.06875,0.074375,0.1441346153846154,0.08447115384615385,0.09091346153846154,0.08427884615384616,0.07899038461538462,0.06706730769230769,0.1652403846153846,0.20014423076923074,0.18072115384615386,0.0901923076923077,0.09956730769230769,0.1035096153846154,0.07620192307692307,0.06408653846153846,0.21899038461538461,0.16038461538461538,0.5030769230769231,0.4909615384615385,0.3317788461538462,0.3214423076923077,0.22451923076923078,0.3083173076923077,0.4470192307692308,0.45014423076923077,0.22033653846153844,0.20197115384615383,0.1364423076923077,0.1010576923076923,0.07591346153846154,0.5070673076923077,0.4524038461538461,0.3705288461538462,0.44048076923076923,0.4359615384615384,0.43884615384615383,0.476875,0.71875,0.7003365384615384,0.2976923076923077,0.39076923076923076,0.19197115384615385,0.08173076923076923,0.44317307692307695,0.4322115384615385,0.4254807692307692,0.4785096153846154,0.6126923076923076,0.8678846153846155,0.87125,0.4626923076923077
dawn,0.46565217391304353,0.3786413043478261,0.43543478260869567,0.4040217391304348,0.45364130434782607,0.38532608695652176,0.5204891304347826,0.3220108695652174,0.4205434782608695,0.34092391304347824,0.49923913043478263,0.4106521739130435,0.582391304347826,0.6198369565217391,0.35434782608695653,0.5507065217391304,0.6034239130434783,0.3567934782608696,0.5042934782608696,0.3470108695652174,0.3748913043478261,0.4033152173913043,0.5423369565217391,0.5198369565217391,0.2857608695652174,0.2595108695652174,0.3904347826086957,0.4505434782608696,0.4273913043478261,0.42994565217391306,0.38831521739130437,0.586304347826087,0.6195652173913043,0.5684782608695652,0.37836956521739135,0.33152173913043476,0.3243478260869565,0.2791847826086956,0.40445652173913044,0.44864130434782606,0.45739130434782604,0.2952173913043478,0.40521739130434786,0.6258152173913044,0.6476086956521739,0.40461956521739134,0.5516304347826086,0.6259782608695652,0.5290217391304348,0.3779347826086957,0.27875,0.34402173913043477,0.3648913043478261,0.3841304347826087,0.44951086956521735,0.49233695652173914,0.43695652173913047,0.6190217391304348,0.6330978260869565,0.5196739130434783,0.6617391304347826,0.530054347826087,0.33293478260869563,0.31070652173913044,0.27706521739130435,0.31820652173913044,0.3778804347826087,0.4242391304347826,0.535,0.6171739130434782,0.6015760869565218
day,0.7091847826086957,0.4135869565217391,0.48581521739130434,0.4108152173913044,0.7343478260869566,0.32005434782608694,0.446195652173913,0.24918478260869567,0.4135869565217391,0.5082608695652173,0.7951630434782608,0.2611413043478261,0.58625,0.8281521739130434,0.22217391304347828,0.38027173913043477,0.5766847826086956,0.2534239130434783,0.45391304347826084,0.4854347826086957,0.7743478260869565,0.4047826086956522,0.7417391304347826,0.7694021739130434,0.08288043478260869,0.12483695652173912,0.2041304347826087,0.43266304347826084,0.7222282608695652,0.6494021739130434,0.23168478260869566,0.3538586956521739,0.6120108695652174,0.4491847826086957,0.4883695652173913,0.657445652173913,0.6659239130434783,0.40853260869565217,0.5107065217391304,0.5926630434782608,0.691304347826087,0.2129891304347826,0.2717934782608696,0.5841847826086957,0.7022826086956522,0.21885869565217392,0.34391304347826085,0.6351086956521739,0.5288586956521739,0.46146739130434783,0.6230434782608696,0.6680978260869566,0.7019565217391304,0.4280434782608696,0.6453260869565217,0.6771739130434782,0.28945652173913045,0.6672826086956521,0.7516304347826087,0.40701086956521737,0.6648913043478261,0.5286413043478261,0.45157608695652174,0.7128804347826087,0.5993478260869566,0.6443478260869565,0.6239673913043479,0.6754891304347826,0.6625543478260869,0.7779347826086958,0.7105978260869565
