concept_category,concept,n_subj,color_set,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71
natural resources,ocean water,38,uw71,0.881710526,0.794539474,0.373552632,0.082434211,0.886315789,0.836973684,0.530394737,0.102697368,0.108684211,0.046644737,0.859013158,0.799473684,0.811644737,0.734407895,0.107828947,0.160394737,0.132894737,0.064342105,0.069736842,0.027105263,0.735263158,0.677631579,0.740855263,0.691907895,0.158092105,0.194473684,0.315131579,0.351315789,0.280921053,0.321842105,0.067434211,0.101118421,0.103355263,0.057894737,0.027960526,0.536578947,0.512763158,0.219013158,0.314144737,0.384144737,0.365789474,0.125,0.140131579,0.195592105,0.212434211,0.071578947,0.096184211,0.053289474,0.041578947,0.019934211,0.200921053,0.281842105,0.354013158,0.212697368,0.23375,0.181973684,0.094868421,0.103421053,0.114473684,0.062434211,0.070986842,0.038355263,0.012302632,0.152828947,0.190328947,0.181118421,0.155789474,0.078486842,0.043355263,0.060197368,0.044013158
natural resources,tree foliage,38,uw71,0.045657895,0.052171053,0.120789474,0.077039474,0.073355263,0.073552632,0.101184211,0.101710526,0.097631579,0.083157895,0.109736842,0.090394737,0.090526316,0.071381579,0.114473684,0.123092105,0.122960526,0.14625,0.157105263,0.082960526,0.136118421,0.46,0.147697368,0.178092105,0.050328947,0.096184211,0.125789474,0.078421053,0.081052632,0.098815789,0.290394737,0.221052632,0.171118421,0.178026316,0.101513158,0.521907895,0.397434211,0.957763158,0.818026316,0.555789474,0.465986842,0.653355263,0.527236842,0.295131579,0.258815789,0.510394737,0.4825,0.196644737,0.330723684,0.148552632,0.930592105,0.775460526,0.635,0.874013158,0.671710526,0.476447368,0.592039474,0.500592105,0.380789474,0.549539474,0.41,0.517828947,0.271315789,0.682302632,0.761710526,0.616710526,0.634407895,0.516184211,0.521578947,0.492105263,0.483815789
natural resources,glacial ice,38,uw71,0.706118421,0.517105263,0.341907895,0.099013158,0.762236842,0.521578947,0.524473684,0.071907895,0.148881579,0.065197368,0.775460526,0.485131579,0.76375,0.879407895,0.098684211,0.165460526,0.292434211,0.045,0.093421053,0.040723684,0.703947368,0.515328947,0.748881579,0.829473684,0.070789474,0.281315789,0.515723684,0.778881579,0.864671053,0.877763158,0.040263158,0.093815789,0.175197368,0.071578947,0.033289474,0.445789474,0.526315789,0.059144737,0.170526316,0.374934211,0.533815789,0.055723684,0.13375,0.360921053,0.439671053,0.038223684,0.053223684,0.124078947,0.044276316,0.015921053,0.088815789,0.200789474,0.273421053,0.079868421,0.169671053,0.254539474,0.046513158,0.146973684,0.201578947,0.066052632,0.105526316,0.031184211,0.017039474,0.109144737,0.103815789,0.1425,0.094210526,0.120657895,0.068157895,0.078618421,0.046710526
natural resources,ground soil,38,uw71,0.029144737,0.023618421,0.041842105,0.04,0.027236842,0.020592105,0.054802632,0.062039474,0.058618421,0.033355263,0.034342105,0.074539474,0.068157895,0.045986842,0.075460526,0.070197368,0.053618421,0.081513158,0.059605263,0.022434211,0.025065789,0.130855263,0.083947368,0.063355263,0.444210526,0.488289474,0.374210526,0.202236842,0.089605263,0.104802632,0.436842105,0.261184211,0.099934211,0.072171053,0.033026316,0.1175,0.073881579,0.329802632,0.289473684,0.159605263,0.132039474,0.894671053,0.753947368,0.413618421,0.254078947,0.885328947,0.648947368,0.235789474,0.184144737,0.056907895,0.217171053,0.164407895,0.114605263,0.293026316,0.216513158,0.163486842,0.651776316,0.378157895,0.295,0.618223684,0.303684211,0.292960526,0.075986842,0.107039474,0.135855263,0.124013158,0.144671053,0.123421053,0.229934211,0.202763158,0.263157895
natural resources,wild fire,38,uw71,0.055065789,0.054605263,0.083092105,0.120263158,0.035131579,0.065460526,0.050328947,0.104473684,0.099342105,0.192236842,0.044736842,0.044407895,0.065986842,0.108026316,0.08,0.117960526,0.154868421,0.175394737,0.232236842,0.260526316,0.049802632,0.060986842,0.075197368,0.081447368,0.294802632,0.303881579,0.269276316,0.249342105,0.204802632,0.223618421,0.363552632,0.310065789,0.282171053,0.404605263,0.418223684,0.07625,0.083223684,0.121907895,0.116315789,0.062236842,0.102828947,0.266184211,0.288684211,0.294868421,0.302171053,0.535460526,0.541644737,0.418684211,0.712368421,0.719013158,0.110986842,0.078618421,0.074605263,0.139736842,0.165855263,0.145592105,0.370328947,0.441578947,0.454539474,0.776513158,0.620131579,0.876052632,0.889407895,0.065328947,0.108815789,0.111907895,0.193947368,0.242631579,0.676578947,0.639934211,0.792039474
natural resources,a lot of sunshine,31,uw71_sub,,,,,0.59733871,0.255403226,,0.165483871,0.310322581,,0.667258065,0.266370968,,,0.164032258,,,0.225645161,,,0.623145161,0.387903226,,,,0.045241935,0.113548387,0.297177419,,0.456935484,0.157822581,,0.466370968,,,,,0.311048387,,,,,,,0.629596774,,,,,,0.46483871,,,,,,,0.79983871,0.805564516,,,,,,,,0.708709677,0.829677419,0.885967742,0.944112903,0.8025
natural resources ,no sunshine,31,uw71_sub,,,,,0.318387097,0.625725806,,0.619112903,0.458951613,,0.225,0.633548387,,,0.678145161,,,0.570483871,,,0.237741935,0.461693548,,,,0.935241935,0.813387097,0.620725806,,0.450645161,0.636774194,,0.375967742,,,,,0.508790323,,,,,,,0.246209677,,,,,,0.3275,,,,,,,0.122258065,0.145,,,,,,,,0.1575,0.126451613,0.112258065,0.056290323,0.156048387
clothes,dress,,uw58,0.722708333,0.70984375,0.676510417,0.689010417,0.700520833,0.75390625,0.691979167,0.698072917,0.698072917,0.650989583,0.635625,0.729322917,0.689166667,0.681197917,0.703177083,0.67828125,0.6790625,0.6971875,0.7284375,0.64078125,,0.641770833,0.6353125,,0.839635417,0.749270833,0.692760417,0.691510417,0.83515625,,0.620729167,0.62890625,0.704791667,0.696927083,0.663385417,0.63015625,,0.64619792,0.61442708,0.62416667,,0.47953125,0.561822917,0.630677083,,0.57828125,0.60484375,0.684791667,0.65109375,0.643958333,0.598489583,0.5878125,,0.5728125,0.582552083,,0.505677083,0.6471875,,0.527083333,0.567291667,0.581979167,0.626927083,,0.52625,,0.516614583,,0.652864583,,0.577447917
clothes,pants,,uw58,0.59125,0.62515625,0.501458333,0.387395833,0.602291667,0.68375,0.560520833,0.452916667,0.443697917,0.39390625,0.533385417,0.770416667,0.652552083,0.583333333,0.476458333,0.476666667,0.525625,0.446979167,0.44609375,0.403802083,,0.523177083,0.475572917,,0.87296875,0.825885417,0.76734375,0.766822917,0.804427083,,0.564270833,0.5296875,0.502708333,0.4284375,0.398854167,0.403385417,,0.53505208,0.52098958,0.4978125,,0.614583333,0.675052083,0.701197917,,0.664166667,0.5234375,0.448541667,0.4353125,0.3675,0.437447917,0.427395833,,0.497239583,0.485104167,,0.485052083,0.548854167,,0.462135417,0.475052083,0.4215625,0.394114583,,0.390572917,,0.411822917,,0.451979167,,0.43640625
clothes,shirt,,uw58,0.683645833,0.719270833,0.697291667,0.625052083,0.733020833,0.769427083,0.722083333,0.658333333,0.654322917,0.605572917,0.67453125,0.759739583,0.730885417,0.767604167,0.665625,0.664322917,0.696614583,0.621666667,0.704895833,0.561927083,,0.684375,0.657760417,,0.865729167,0.808385417,0.79734375,0.808177083,0.885885417,,0.630052083,0.60296875,0.737916667,0.637135417,0.543125,0.5471875,,0.61994792,0.63192708,0.61739583,,0.5053125,0.583541667,0.72671875,,0.545208333,0.55109375,0.618177083,0.603645833,0.506666667,0.60828125,0.548802083,,0.543177083,0.629010417,,0.5021875,0.650208333,,0.53359375,0.576458333,0.551979167,0.604322917,,0.48859375,,0.5165625,,0.550677083,,0.52890625
clothes,shoes,,uw58,0.505,0.50984375,0.408177083,0.409583333,0.53609375,0.5446875,0.4325,0.376354167,0.381875,0.37953125,0.471145833,0.629114583,0.547395833,0.544479167,0.442864583,0.432552083,0.425208333,0.430729167,0.40625,0.383177083,,0.4478125,0.450677083,,0.874010417,0.805416667,0.744375,0.718697917,0.815104167,,0.503385417,0.41953125,0.433802083,0.446979167,0.444739583,0.386145833,,0.47588542,0.43005208,0.4165625,,0.612552083,0.57328125,0.60125,,0.618333333,0.493125,0.443072917,0.412447917,0.405885417,0.390625,0.401875,,0.419270833,0.39921875,,0.433072917,0.477291667,,0.44625,0.45171875,0.406041667,0.52234375,,0.364947917,,0.402291667,,0.432135417,,0.40640625
clothes,socks,,uw58,0.49484375,0.545208333,0.526302083,0.461458333,0.488333333,0.596197917,0.516041667,0.455260417,0.465989583,0.416197917,0.479947917,0.590364583,0.576979167,0.609635417,0.528177083,0.482604167,0.531302083,0.45859375,0.454791667,0.401614583,,0.46890625,0.476197917,,0.868020833,0.790729167,0.764427083,0.7928125,0.88984375,,0.535625,0.4778125,0.562708333,0.423125,0.400104167,0.446145833,,0.54083333,0.43942708,0.43911458,,0.58578125,0.623125,0.670833333,,0.526875,0.46609375,0.45421875,0.432239583,0.402552083,0.495572917,0.4265625,,0.5171875,0.43109375,,0.4778125,0.48203125,,0.50890625,0.425208333,0.40875,0.41359375,,0.42859375,,0.440677083,,0.467708333,,0.456041667
